Bevölkerung Population   VZ/RFP 2000;Gde;Kt Ct;PLZ  NPA ;Ortsbezeichnung                             Localité ;BFS-Nr.  No OFS;;Gemeinde                Commune  ;Region Région;Bezirk                                       District 
;;FR;1721;Corsalettes;2200;;Grolley;1;LA SARINE
1646;1;FR;1730;Hauterive;2233;;Hauterive (FR);1;LA SARINE
;;FR;1730;Ecuvillens;2233;;Hauterive (FR);1;LA SARINE
;;FR;1725;Grangeneuve;2233;;Hauterive (FR);1;LA SARINE
;;FR;1725;Posieux;2233;;Hauterive (FR);1;LA SARINE
1285;1;FR;1745;La Brillaz;2234;;La Brillaz;1;LA SARINE
;;FR;1745;Lentigny;2234;;La Brillaz;1;LA SARINE
;;FR;1756;Lovens;2234;;La Brillaz;1;LA SARINE
;;FR;1756;Onnens;2234;;La Brillaz;1;LA SARINE
817;1;FR;1782;La Sonnaz;2235;;La Sonnaz;1;LA SARINE
;;FR;1783;Cormagens;2235;;La Sonnaz;1;LA SARINE
;;FR;1782;Formangueires;2235;;La Sonnaz;1;LA SARINE
;;FR;1783;La Corbaz;2235;;La Sonnaz;1;LA SARINE
;;FR;1783;La Sonnaz;2235;;La Sonnaz;1;LA SARINE
;;FR;1782;Lossy;2235;;La Sonnaz;1;LA SARINE
;;FR;1782;Lossy-Formangueires;2235;;La Sonnaz;1;LA SARINE
912;1;FR;1695;Le Glèbe;2223;;Le Glèbe;1;LA SARINE
;;FR;1695;Estavayer-Gibloux;2223;;Le Glèbe;1;LA SARINE
;;FR;1695;Rueyres-St-Laurent;2223;;Le Glèbe;1;LA SARINE
;;FR;1695;Villarlod;2223;;Le Glèbe;1;LA SARINE
;;FR;1695;Villarsel-Gibloux;2223;;Le Glèbe;1;LA SARINE
2681;1;FR;1724;Le Mouret;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Bonnefontaine;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Essert;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Le Pafuet;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Montécu;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Montemblon;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Montévraz;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Oberried;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Pramathaux;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Praroman;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Sonnenwil;2220;;Le Mouret;1;LA SARINE
;;FR;1724;Zénauva;2220;;Le Mouret;1;LA SARINE
7184;1;FR;1723;Marly;2206;;Marly;1;LA SARINE
;;FR;1723;Chésalles;2206;;Marly;1;LA SARINE
1261;1;FR;1753;Matran;2208;;Matran;1;LA SARINE
1666;1;FR;1740;Neyruz;2211;;Neyruz (FR);1;LA SARINE
;;FR;1740;Nierlet-le-Toit;2211;;Neyruz (FR);1;LA SARINE
472;1;FR;1757;Noréaz;2213;;Noréaz;1;LA SARINE
;;FR;1757;Seedorf;2213;;Noréaz;1;LA SARINE
136;1;FR;1723;Pierrafortscha;2216;;Pierrafortscha;1;LA SARINE
;;FR;1723;Granges-sur-Marly;2216;;Pierrafortscha;1;LA SARINE
;;FR;1723;Villars-sur-Marly;2216;;Pierrafortscha;1;LA SARINE
488;1;FR;1772;Ponthaux;2217;;Ponthaux;1;LA SARINE
;;FR;1772;Nierlet-les-Bois;2217;;Ponthaux;1;LA SARINE
806;1;FR;1746;Prez-vers-Noréaz;2221;;Prez-vers-Noréaz;1;LA SARINE
1114;1;FR;1728;Rossens;2222;;Rossens (FR);1;LA SARINE
;;FR;1728;Illens;2222;;Rossens (FR);1;LA SARINE
109;1;FR;1724;Senèdes;2225;;Senèdes;1;LA SARINE
1248;1;FR;1733;Treyvaux;2226;;Treyvaux;1;LA SARINE
;;FR;1733;Pratzey;2226;;Treyvaux;1;LA SARINE
74;1;FR;1723;Villarsel-sur-Marly;2230;;Villarsel-sur-Marly;1;LA SARINE
9339;1;FR;1752;Villars-sur-Glâne;2228;;Villars-sur-Glâne;1;LA SARINE
;;FR;1752;Cormanon;2228;;Villars-sur-Glâne;1;LA SARINE
;;FR;1700;La Glâne;2228;;Villars-sur-Glâne;1;LA SARINE
;;FR;1700;Les Daillettes;2228;;Villars-sur-Glâne;1;LA SARINE
709;1;FR;1696;Vuisternens-Ogoz;2231;;Vuisternens-en-Ogoz;1;LA SARINE
2252;1;FR;1616;Attalens;2321;;Attalens;2;LA VEVEYSE
;;FR;1616;Corcelles;2321;;Attalens;2;LA VEVEYSE
;;FR;1617;Tatroz;2321;;Attalens;2;LA VEVEYSE
;;FR;1616;Vuarat;2321;;Attalens;2;LA VEVEYSE
1041;1;FR;1615;Bossonnens;2323;;Bossonnens;2;LA VEVEYSE
4389;1;FR;1618;Châtel-St-Denis;2325;;Châtel-Saint-Denis;2;LA VEVEYSE
;;FR;1618;Fruence;2325;;Châtel-Saint-Denis;2;LA VEVEYSE
;;FR;1619;Les Paccots;2325;;Châtel-Saint-Denis;2;LA VEVEYSE
;;FR;1619;Les Rosalys;2325;;Châtel-Saint-Denis;2;LA VEVEYSE
;;FR;1618;Prayoud;2325;;Châtel-Saint-Denis;2;LA VEVEYSE
629;1;FR;1614;Granges (Veveyse);2328;;Granges (Veveyse);2;LA VEVEYSE
862;1;FR;1611;La Verrerie;2338;;La Verrerie;2;LA VEVEYSE
;;FR;1624;Grattavache;2338;;La Verrerie;2;LA VEVEYSE
;;FR;1624;La Verrerie;2338;;La Verrerie;2;LA VEVEYSE
;;FR;1611;Le Crét;2338;;La Verrerie;2;LA VEVEYSE
;;FR;1624;Progens;2338;;La Verrerie;2;LA VEVEYSE
849;1;FR;1699;Le Flon;2337;;Le Flon;2;LA VEVEYSE
;;FR;1699;Bouloz;2337;;Le Flon;2;LA VEVEYSE
;;FR;1699;Pont (Veveyse);2337;;Le Flon;2;LA VEVEYSE
;;FR;1699;Porsel;2337;;Le Flon;2;LA VEVEYSE
744;1;FR;1617;Remaufens;2333;;Remaufens;2;LA VEVEYSE
829;1;FR;1609;St-Martin;2335;;Saint-Martin (FR);2;LA VEVEYSE
;;FR;1609;Besencens;2335;;Saint-Martin (FR);2;LA VEVEYSE
;;FR;1609;Fiaugères;2335;;Saint-Martin (FR);2;LA VEVEYSE
;;FR;1609;Le Jordil;2335;;Saint-Martin (FR);2;LA VEVEYSE
1019;1;FR;1623;Semsales;2336;;Semsales;2;LA VEVEYSE
;;FR;1623;La Rougève;2336;;Semsales;2;LA VEVEYSE
;;FR;1623;La Villette;2336;;Semsales;2;LA VEVEYSE
136;1;FR;3216;Agriswil;2241;;Agriswil;2;SEE/LAC
;;FR;3216;Agrimoine;2241;;Agriswil;2;SEE/LAC
551;1;FR;1783;Barberêche;2243;;Barberêche;2;SEE/LAC
;;FR;1783;Breilles;2243;;Barberêche;2;SEE/LAC
;;FR;1783;Pensier;2243;;Barberêche;2;SEE/LAC
1656;1;FR;1786;Bas-Vully;2280;;Bas-Vully;2;SEE/LAC
;;FR;1786;Bellechasse;2280;;Bas-Vully;2;SEE/LAC
;;FR;1788;Le Péage;2280;;Bas-Vully;2;SEE/LAC
;;FR;1786;Nant;2280;;Bas-Vully;2;SEE/LAC
;;FR;1788;Praz (Vully);2280;;Bas-Vully;2;SEE/LAC
;;FR;1786;Sugiez;2280;;Bas-Vully;2;SEE/LAC
154;1;FR;3215;Büchslen;2244;;Büchslen;2;SEE/LAC
;;FR;3215;Buchillon;2244;;Büchslen;2;SEE/LAC
752;1;FR;1792;Cordast;2247;;Cordast;2;SEE/LAC
903;1;FR;1796;Courgevaux;2250;;Courgevaux;2;SEE/LAC
;;FR;1796;Champ Olivier;2250;;Courgevaux;2;SEE/LAC
;;FR;1796;Gurwolf;2250;;Courgevaux;2;SEE/LAC
259;1;FR;1795;Courlevon;2251;;Courlevon;2;SEE/LAC
;;FR;1795;Coussiberlé;2251;;Courlevon;2;SEE/LAC
2680;1;FR;1784;Courtepin;2254;;Courtepin;2;SEE/LAC
;;FR;1791;Courtaman;2254;;Courtepin;2;SEE/LAC
729;1;FR;1785;Cressier;2257;;Cressier (FR);2;SEE/LAC
481;1;FR;3284;Fräschels;2258;;Fräschels;2;SEE/LAC
;;FR;3284;Frasses (Lac);2258;;Fräschels;2;SEE/LAC
560;1;FR;3285;Galmiz;2259;;Galmiz;2;SEE/LAC
;;FR;3285;Charmey (Lac);2259;;Galmiz;2;SEE/LAC
281;1;FR;3215;Gempenach;2260;;Gempenach;2;SEE/LAC
;;FR;3215;Champagny;2260;;Gempenach;2;SEE/LAC
150;1;FR;3280;Greng;2261;;Greng;2;SEE/LAC
2559;1;FR;3212;Gurmels;2262;;Gurmels;2;SEE/LAC
;;FR;3212;Cormondes;2262;;Gurmels;2;SEE/LAC
;;FR;1792;Grossguschelmuth;2262;;Gurmels;2;SEE/LAC
;;FR;1792;Guschelmuth;2262;;Gurmels;2;SEE/LAC
;;FR;3212;Kleingurmels;2262;;Gurmels;2;SEE/LAC
;;FR;1792;Kleinguschelmuth;2262;;Gurmels;2;SEE/LAC
;;FR;3213;Liebistorf;2262;;Gurmels;2;SEE/LAC
;;FR;3212;Monterschu;2262;;Gurmels;2;SEE/LAC
;;FR;3206;Wallenbuch;2262;;Gurmels;2;SEE/LAC
1055;1;FR;1789;Haut-Vully;2281;;Haut-Vully;2;SEE/LAC
;;FR;1789;Joressent;2281;;Haut-Vully;2;SEE/LAC
;;FR;1789;Lugnorre;2281;;Haut-Vully;2;SEE/LAC
;;FR;1787;Môtier (Vully);2281;;Haut-Vully;2;SEE/LAC
;;FR;1787;Mur (Vully) *;2281;;Haut-Vully;2;SEE/LAC
395;1;FR;1793;Jeuss;2264;;Jeuss;2;SEE/LAC
;;FR;1793;Galmguet;2264;;Jeuss;2;SEE/LAC
;;FR;1793;Jentes;2264;;Jeuss;2;SEE/LAC
3892;1;FR;3210;Kerzers;2265;;Kerzers;2;SEE/LAC
;;FR;3210;Chiètres;2265;;Kerzers;2;SEE/LAC
506;1;FR;3213;Kleinbösingen;2266;;Kleinbösingen;2;SEE/LAC
;;FR;3213;Grünenburg;2266;;Kleinbösingen;2;SEE/LAC
179;1;FR;3215;Lurtigen;2270;;Lurtigen;2;SEE/LAC
;;FR;3215;Lourtens;2270;;Lurtigen;2;SEE/LAC
547;1;FR;3280;Meyriez;2271;;Meyriez;2;SEE/LAC
;;FR;3280;Merlach;2271;;Meyriez;2;SEE/LAC
1232;1;FR;1721;Misery-Courtion;2272;;Misery-Courtion;2;SEE/LAC
;;FR;1721;Cormérod;2272;;Misery-Courtion;2;SEE/LAC
;;FR;1784;Cournillens;2272;;Misery-Courtion;2;SEE/LAC
;;FR;1721;Courtion;2272;;Misery-Courtion;2;SEE/LAC
;;FR;1721;Misery;2272;;Misery-Courtion;2;SEE/LAC
719;1;FR;3286;Muntelier;2274;;Muntelier;2;SEE/LAC
;;FR;3286;Montilier;2274;;Muntelier;2;SEE/LAC
5578;1;FR;3280;Murten;2275;;Murten;2;SEE/LAC
;;FR;3280;Altavilla;2275;;Murten;2;SEE/LAC
;;FR;3280;Burg bei Murten;2275;;Murten;2;SEE/LAC
;;FR;3280;Erli;2275;;Murten;2;SEE/LAC
;;FR;3280;Morat;2275;;Murten;2;SEE/LAC
695;1;FR;3216;Ried bei Kerzers;2276;;Ried bei Kerzers;2;SEE/LAC
400;1;FR;1794;Salvenach;2277;;Salvenach;2;SEE/LAC
;;FR;1794;Salvagny;2277;;Salvenach;2;SEE/LAC
359;1;FR;3214;Ulmiz;2278;;Ulmiz;2;SEE/LAC
;;FR;3214;Ormey;2278;;Ulmiz;2;SEE/LAC
453;1;FR;1583;Villarepos;2279;;Villarepos;2;SEE/LAC
;;FR;1583;Chandossel;2279;;Villarepos;2;SEE/LAC
314;1;FR;1784;Wallenried;2283;;Wallenried;2;SEE/LAC
;;FR;1784;Esserts (Lac);2283;;Wallenried;2;SEE/LAC
1881;1;FR;1715;Alterswil;2291;;Alterswil;2;SENSE
;;FR;1715;Beniwil;2291;;Alterswil;2;SENSE
;;FR;1712;Galteren;2291;;Alterswil;2;SENSE
;;FR;1719;Ober Maggenberg;2291;;Alterswil;2;SENSE
;;FR;1715;Wengliswil;2291;;Alterswil;2;SENSE
;;FR;1715;Zum Holz;2291;;Alterswil;2;SENSE
3117;1;FR;3178;Bösingen;2295;;Bösingen;2;SENSE
;;FR;3178;Fendringen;2295;;Bösingen;2;SENSE
;;FR;3185;Friesenheid;2295;;Bösingen;2;SENSE
;;FR;3178;Grenchen;2295;;Bösingen;2;SENSE
;;FR;3178;Litzistorf;2295;;Bösingen;2;SENSE
;;FR;3178;Noflen;2295;;Bösingen;2;SENSE
;;FR;3178;Richterwil;2295;;Bösingen;2;SENSE
;;FR;3178;Riederberg;2295;;Bösingen;2;SENSE
;;FR;3178;Tuftera;2295;;Bösingen;2;SENSE
;;FR;3178;Unterbösingen;2295;;Bösingen;2;SENSE
;;FR;3178;Uttiwil;2295;;Bösingen;2;SENSE
561;1;FR;1719;Brünisried;2292;;Brünisried;2;SENSE
6712;1;FR;3186;Düdingen;2293;;Düdingen;2;SENSE
;;FR;3186;Balbertswil;2293;;Düdingen;2;SENSE
;;FR;3186;Bäriswil bei Tafers;2293;;Düdingen;2;SENSE
;;FR;3186;Bundtels;2293;;Düdingen;2;SENSE
;;FR;3186;Chastels;2293;;Düdingen;2;SENSE
;;FR;3186;Galmis bei Düdingen;2293;;Düdingen;2;SENSE
;;FR;3186;Garmiswil;2293;;Düdingen;2;SENSE
;;FR;3186;Guin;2293;;Düdingen;2;SENSE
;;FR;3186;Heitiwil;2293;;Düdingen;2;SENSE
;;FR;3186;Jetschwil;2293;;Düdingen;2;SENSE
;;FR;3186;Luggiwil;2293;;Düdingen;2;SENSE
;;FR;3186;Mariahilf;2293;;Düdingen;2;SENSE
;;FR;3186;Ottisberg;2293;;Düdingen;2;SENSE
;;FR;3186;Räsch;2293;;Düdingen;2;SENSE
;;FR;3186;Schiffenen;2293;;Düdingen;2;SENSE
;;FR;3186;St. Wolfgang;2293;;Düdingen;2;SENSE
;;FR;1700;Uebewil;2293;;Düdingen;2;SENSE
1393;1;FR;1735;Giffers;2294;;Giffers;2;SENSE
;;FR;1735;Chevrilles;2294;;Giffers;2;SENSE
;;FR;1735;Eichholz;2294;;Giffers;2;SENSE
1101;1;FR;1714;Heitenried;2296;;Heitenried;2;SENSE
;;FR;1714;Niedermuhren *;2296;;Heitenried;2;SENSE
;;FR;1714;Selgiswil;2296;;Heitenried;2;SENSE
;;FR;1714;Wiler vor Holz;2296;;Heitenried;2;SENSE
1006;1;FR;1716;Oberschrot;2298;;Oberschrot;2;SENSE
;;FR;1716;Plötscha;2298;;Oberschrot;2;SENSE
;;FR;1716;Ried;2298;;Oberschrot;2;SENSE
1938;1;FR;1716;Plaffeien;2299;;Plaffeien;2;SENSE
;;FR;1711;Lac-Noir;2299;;Plaffeien;2;SENSE
;;FR;1716;Planfayon;2299;;Plaffeien;2;SENSE
;;FR;1716;Rufenen;2299;;Plaffeien;2;SENSE
;;FR;1716;Rüti;2299;;Plaffeien;2;SENSE
;;FR;1711;Schwarzsee;2299;;Plaffeien;2;SENSE
;;FR;1711;Zollhaus;2299;;Plaffeien;2;SENSE
980;1;FR;1737;Plasselb;2300;;Plasselb;2;SENSE
;;FR;1737;Neuhaus;2300;;Plasselb;2;SENSE
1025;1;FR;1718;Rechthalten;2301;;Rechthalten;2;SENSE
;;FR;1718;Dirlaret;2301;;Rechthalten;2;SENSE
3280;1;FR;3185;Schmitten;2305;;Schmitten (FR);2;SENSE
;;FR;3185;Berg;2305;;Schmitten (FR);2;SENSE
;;FR;3185;Burg *;2305;;Schmitten (FR);2;SENSE
;;FR;3185;Fillistorf;2305;;Schmitten (FR);2;SENSE
;;FR;3185;Lanthen;2305;;Schmitten (FR);2;SENSE
;;FR;3185;Mülital *;2305;;Schmitten (FR);2;SENSE
;;FR;3185;Ried;2305;;Schmitten (FR);2;SENSE
;;FR;3185;Tützenberg;2305;;Schmitten (FR);2;SENSE
1924;1;FR;1713;St. Antoni;2302;;St. Antoni;2;SENSE
;;FR;1713;Bächlisbrunnen;2302;;St. Antoni;2;SENSE
;;FR;1714;Burg *;2302;;St. Antoni;2;SENSE
;;FR;1714;Lehwil;2302;;St. Antoni;2;SENSE
;;FR;1713;Niedermonten;2302;;St. Antoni;2;SENSE
;;FR;1714;Niedermuhren *;2302;;St. Antoni;2;SENSE
;;FR;1713;Obermonten;2302;;St. Antoni;2;SENSE
;;FR;1714;Schwenny;2302;;St. Antoni;2;SENSE
;;FR;1713;St-Antoine;2302;;St. Antoni;2;SENSE
955;1;FR;1736;St-Silvester;2303;;St. Silvester;2;SENSE
;;FR;1736;St. Silvestre;2303;;St. Silvester;2;SENSE
1162;1;FR;1717;St. Ursen;2304;;St. Ursen;2;SENSE
;;FR;1717;Engertswil;2304;;St. Ursen;2;SENSE
;;FR;1722;Römerswil;2304;;St. Ursen;2;SENSE
;;FR;1717;St-Ours;2304;;St. Ursen;2;SENSE
2627;1;FR;1712;Tafers;2306;;Tafers;2;SENSE
;;FR;1712;Juch;2306;;Tafers;2;SENSE
;;FR;1712;Rohr bei Tavers;2306;;Tafers;2;SENSE
;;FR;1712;Schönberg *;2306;;Tafers;2;SENSE
;;FR;1712;Tavel;2306;;Tafers;2;SENSE
1147;1;FR;1734;Tentlingen;2307;;Tentlingen;2;SENSE
;;FR;1734;Tinterin;2307;;Tentlingen;2;SENSE
2115;1;FR;3182;Ueberstorf;2308;;Ueberstorf;2;SENSE
;;FR;3182;Blattishaus;2308;;Ueberstorf;2;SENSE
;;FR;3175;Grossried;2308;;Ueberstorf;2;SENSE
;;FR;3182;Niedermettlen;2308;;Ueberstorf;2;SENSE
;;FR;3182;Obermettlen;2308;;Ueberstorf;2;SENSE
;;FR;3182;Riedern;2308;;Ueberstorf;2;SENSE
4916;1;FR;3184;Wünnewil-Flamatt;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Amtmerswil;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Bagiwil;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Balsingen;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Bluemisberg;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Dietisberg;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Eggelried;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Elswil;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3175;Flamatt;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3185;Mülital *;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Pfaffenholz;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Sensebrügg;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Staffels;2309;;Wünnewil-Flamatt;2;SENSE
;;FR;3184;Wünnewil;2309;;Wünnewil-Flamatt;2;SENSE
459;1;FR;1719;Zumholz;2310;;Zumholz;2;SENSE
;;GE;;;;;;0;
;;GL;;;;;;0;
403;1;GR;7492;Alvaneu;3511;;Alvaneu;3;ALBULA
;;GR;7492;Aclas;3511;;Alvaneu;3;ALBULA
;;GR;7492;Alvagni;3511;;Alvaneu;3;ALBULA
;;GR;7473;Alvaneu Bad;3511;;Alvaneu;3;ALBULA
154;1;GR;7451;Alvaschein;3501;;Alvaschein;3;ALBULA
520;1;GR;7482;Bergün/Bravuogn;3521;;Bergün/Bravuogn;3;ALBULA
;;GR;7482;Bravuogn;3521;;Bergün/Bravuogn;3;ALBULA
;;GR;7482;Chants;3521;;Bergün/Bravuogn;3;ALBULA
;;GR;7484;Latsch;3521;;Bergün/Bravuogn;3;ALBULA
;;GR;7482;Naz;3521;;Bergün/Bravuogn;3;ALBULA
;;GR;7482;Preda;3521;;Bergün/Bravuogn;3;ALBULA
;;GR;7482;Stugl/Stuls;3521;;Bergün/Bravuogn;3;ALBULA
;;GR;7482;Stuls;3521;;Bergün/Bravuogn;3;ALBULA
204;1;GR;7457;Bivio;3531;;Bivio;3;ALBULA
;;GR;7457;Beiva;3531;;Bivio;3;ALBULA
;;GR;7457;Julierpass;3531;;Bivio;3;ALBULA
117;1;GR;7084;Brienz/Brinzauls;3512;;Brienz/Brinzauls;3;ALBULA
;;GR;7084;Vazerol;3512;;Brienz/Brinzauls;3;ALBULA
198;1;GR;7452;Cunter;3532;;Cunter;3;ALBULA
;;GR;7452;Conters im Oberhalbstein;3532;;Cunter;3;ALBULA
466;1;GR;7477;Filisur;3522;;Filisur;3;ALBULA
;;GR;7494;Jenisberg;3522;;Filisur;3;ALBULA
485;1;GR;7083;Lantsch/Lenz;3513;;Lantsch/Lenz;3;ALBULA
;;GR;7083;Lenz;3513;;Lantsch/Lenz;3;ALBULA
49;1;GR;7456;Marmorera;3533;;Marmorera;3;ALBULA
;;GR;7456;Marmels;3533;;Marmorera;3;ALBULA
86;1;GR;7458;Mon;3502;;Mon;3;ALBULA
;;GR;7458;Mons;3502;;Mon;3;ALBULA
33;1;GR;7455;Mulegns;3534;;Mulegns;3;ALBULA
;;GR;7455;Molins;3534;;Mulegns;3;ALBULA
;;GR;7455;Mühlen;3534;;Mulegns;3;ALBULA
80;1;GR;7431;Mutten;3503;;Mutten;3;ALBULA
;;GR;7431;Obermutten;3503;;Mutten;3;ALBULA
327;1;GR;7463;Riom-Parsonz;3536;;Riom-Parsonz;3;ALBULA
;;GR;7464;Parsonz;3536;;Riom-Parsonz;3;ALBULA
;;GR;7464;Präsanz;3536;;Riom-Parsonz;3;ALBULA
;;GR;7464;Radons;3536;;Riom-Parsonz;3;ALBULA
;;GR;7463;Riom;3536;;Riom-Parsonz;3;ALBULA
;;GR;7463;Tigignas;3536;;Riom-Parsonz;3;ALBULA
205;1;GR;7462;Salouf;3538;;Salouf;3;ALBULA
;;GR;7462;Panaglia;3538;;Salouf;3;ALBULA
;;GR;7462;Salux;3538;;Salouf;3;ALBULA
882;1;GR;7460;Savognin;3539;;Savognin;3;ALBULA
243;1;GR;7493;Schmitten (Albula);3514;;Schmitten (GR);3;ALBULA
;;GR;7493;Ferrera;3514;;Schmitten (GR);3;ALBULA
128;1;GR;7459;Stierva;3504;;Stierva;3;ALBULA
;;GR;7459;Stürvis;3504;;Stierva;3;ALBULA
93;1;GR;7456;Sur;3540;;Sur;3;ALBULA
250;1;GR;7472;Surava;3515;;Surava;3;ALBULA
230;1;GR;7450;Tiefencastel;3505;;Tiefencastel;3;ALBULA
;;GR;7450;Prada (EW);3505;;Tiefencastel;3;ALBULA
369;1;GR;7453;Tinizong-Rona;3541;;Tinizong-Rona;3;ALBULA
;;GR;7454;Rona;3541;;Tinizong-Rona;3;ALBULA
;;GR;7454;Tinizong;3541;;Tinizong-Rona;3;ALBULA
;;GR;7453;Tinzen-Roffna;3541;;Tinizong-Rona;3;ALBULA
2691;1;GR;7082;Vaz/Obervaz;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7077;Canols;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7078;Lai;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7082;Lain;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7077;Lenzerheide See;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7078;Lenzerheide/Lai;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7082;Muldain;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7082;Obervaz;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7450;Solis;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7078;Sporz;3506;;Vaz/Obervaz;3;ALBULA
;;GR;7077;Valbella (Lenzerheide);3506;;Vaz/Obervaz;3;ALBULA
;;GR;7082;Zorten;3506;;Vaz/Obervaz;3;ALBULA
301;1;GR;7494;Wiesen;3523;;Wiesen (GR);3;ALBULA
1202;1;GR;7743;Brusio;3551;;Brusio;2;BERNINA
;;GR;7748;Campascio;3551;;Brusio;2;BERNINA
;;GR;7744;Campocologno;3551;;Brusio;2;BERNINA
;;GR;7748;Cavajone;3551;;Brusio;2;BERNINA
;;GR;7743;Cottongio;3551;;Brusio;2;BERNINA
;;GR;7743;Miralago *;3551;;Brusio;2;BERNINA
;;GR;7743;Piazzo;3551;;Brusio;2;BERNINA
;;GR;7747;Viano;3551;;Brusio;2;BERNINA
;;GR;7748;Zalende;3551;;Brusio;2;BERNINA
3225;1;GR;7742;Poschiavo;3561;;Poschiavo;2;BERNINA
;;GR;7710;Alp Grüm;3561;;Poschiavo;2;BERNINA
;;GR;7741;Angeli Gustodi;3561;;Poschiavo;2;BERNINA
;;GR;7745;Annunziata;3561;;Poschiavo;2;BERNINA
;;GR;7746;Cantone;3561;;Poschiavo;2;BERNINA
;;GR;7742;Cavaglia;3561;;Poschiavo;2;BERNINA
;;GR;7742;Cologna;3561;;Poschiavo;2;BERNINA
;;GR;7742;La Rösa;3561;;Poschiavo;2;BERNINA
;;GR;7746;Le Prese;3561;;Poschiavo;2;BERNINA
;;GR;7745;Li Curt;3561;;Poschiavo;2;BERNINA
;;GR;7743;Miralago *;3561;;Poschiavo;2;BERNINA
;;GR;7710;Ospizio Bernina;3561;;Poschiavo;2;BERNINA
;;GR;7746;Pacnoncini;3561;;Poschiavo;2;BERNINA
;;GR;7745;Prada;3561;;Poschiavo;2;BERNINA
;;GR;7741;Privilasco;3561;;Poschiavo;2;BERNINA
;;GR;7745;San Antonio;3561;;Poschiavo;2;BERNINA
;;GR;7741;San Carlo;3561;;Poschiavo;2;BERNINA
;;GR;7742;Sfazù;3561;;Poschiavo;2;BERNINA
217;1;GR;7416;Almens;3631;;Almens;3;HINTERRHEIN
669;1;GR;7440;Andeer;3701;;Andeer;3;HINTERRHEIN
;;GR;7440;Bärenburg;3701;;Andeer;3;HINTERRHEIN
47;1;GR;7444;Ausserferrera;3702;;Ausserferrera;3;HINTERRHEIN
;;GR;7444;Cresta;3702;;Ausserferrera;3;HINTERRHEIN
160;1;GR;7447;Avers;3681;;Avers;3;HINTERRHEIN
;;GR;7447;Am Bach;3681;;Avers;3;HINTERRHEIN
;;GR;7446;Campsut;3681;;Avers;3;HINTERRHEIN
;;GR;7447;Cresta;3681;;Avers;3;HINTERRHEIN
;;GR;7446;Cröt;3681;;Avers;3;HINTERRHEIN
;;GR;7448;Juf;3681;;Avers;3;HINTERRHEIN
;;GR;7447;Pürt;3681;;Avers;3;HINTERRHEIN
56;1;GR;7433;Casti-Wergenstein;3703;;Casti-Wergenstein;3;HINTERRHEIN
;;GR;7433;Casti;3703;;Casti-Wergenstein;3;HINTERRHEIN
;;GR;7433;Wergenstein;3703;;Casti-Wergenstein;3;HINTERRHEIN
1575;1;GR;7408;Cazis;3661;;Cazis;3;HINTERRHEIN
;;GR;7408;Realta;3661;;Cazis;3;HINTERRHEIN
;;GR;7421;Schauenberg;3661;;Cazis;3;HINTERRHEIN
;;GR;7421;Summaprada;3661;;Cazis;3;HINTERRHEIN
;;GR;7408;Unterrealta;3661;;Cazis;3;HINTERRHEIN
33;1;GR;7442;Clugin;3704;;Clugin;3;HINTERRHEIN
;;GR;7440;Promischur;3704;;Clugin;3;HINTERRHEIN
197;1;GR;7433;Donat;3705;;Donat;3;HINTERRHEIN
;;GR;7433;Donath;3705;;Donat;3;HINTERRHEIN
;;GR;7433;Farden;3705;;Donat;3;HINTERRHEIN
;;GR;7442;Magun;3705;;Donat;3;HINTERRHEIN
;;GR;7433;Patzen-Fardün;3705;;Donat;3;HINTERRHEIN
;;GR;7433;Pazen-Farden;3705;;Donat;3;HINTERRHEIN
